[0.13037476 0.1879669  0.03174961 0.28588957 0.32500833 0.03901038],[0.06012652 0.09615894 0.00755764 0.09340132 0.09590092 0.00856541]
[0.11931143 0.20545268 0.0309446  0.27752015 0.32675067 0.04002017],[0.05410423 0.10595451 0.00684267 0.09442158 0.10366487 0.0097948 ]
[0.12873365 0.21437834 0.02595195 0.28085932 0.30540788 0.04466871],[0.05671524 0.11106878 0.00339659 0.08775661 0.09301459 0.01504748]
[0.14808096 0.19641016 0.03295758 0.27840567 0.29996568 0.04417976],[0.06834159 0.10106859 0.00650985 0.0885212  0.09273321 0.01264582]
[0.13752645 0.18893933 0.0375338  0.2865663  0.3054469  0.04398727],[0.0647547  0.09691407 0.0085461  0.093002   0.09599464 0.01278351]
[0.12979294 0.208515   0.028811   0.26932776 0.32377452 0.03977947],[0.06019645 0.10883399 0.00557057 0.08669907 0.10018382 0.01084833]
[0.14658403 0.22507499 0.02570629 0.25321665 0.31384346 0.03557478],[0.06618745 0.11511488 0.00458887 0.07889991 0.09818844 0.01002269]
[0.1373357  0.2088807  0.02885099 0.27723923 0.3126766  0.03501675],[0.06226429 0.10817654 0.00605279 0.08298626 0.08961259 0.00780325]
[0.12771633 0.20277329 0.03678832 0.2792694  0.3157665  0.03768561],[0.05690045 0.10295592 0.01066836 0.08776448 0.095372   0.00764923]
[0.13205409 0.22768351 0.03160119 0.2606217  0.30744535 0.04059427],[0.06235465 0.1150495  0.0070474  0.0838735  0.0987065  0.01115009]
[0.12794511 0.19633807 0.02901392 0.28526548 0.32100838 0.04042856],[0.05961828 0.10065569 0.00606699 0.08927563 0.09420703 0.0113728 ]
[0.14708005 0.21188657 0.03137874 0.2765797  0.29515475 0.0379196 ],[0.07391432 0.10656447 0.0075834  0.09321743 0.09436701 0.00972215]
[0.14317518 0.20851141 0.03111181 0.27090922 0.30454993 0.04174214],[0.07110453 0.10743419 0.00522187 0.08671909 0.09261103 0.01064325]
[0.13550796 0.20373404 0.03060038 0.25246152 0.33905023 0.03864543],[0.06463378 0.10569684 0.00705106 0.08318076 0.10661583 0.00902202]
[0.10862469 0.21264133 0.03222625 0.25861484 0.3479775  0.03991509],[0.04701548 0.11068429 0.00832303 0.08321183 0.10483392 0.009552  ]
[0.11331047 0.20684354 0.03294522 0.27237177 0.3389174  0.03561217],[0.05079474 0.10669261 0.00830575 0.08593937 0.10120295 0.00716405]
[0.1529685  0.20459127 0.02810146 0.25755084 0.3205811  0.03620691],[0.08018075 0.10959959 0.00487184 0.08654243 0.10079136 0.00793315]
[0.15010294 0.20323569 0.02707198 0.2633146  0.31849957 0.03777514],[0.07089214 0.10519036 0.00438434 0.0820924  0.0941944  0.00971436]
[0.13872091 0.24487516 0.02947198 0.26615003 0.28298777 0.03779452],[0.06516272 0.12297395 0.00498894 0.0883126  0.08940321 0.0089317 ]
[0.13176498 0.21645592 0.02827662 0.27263793 0.31385392 0.03701089],[0.06388655 0.11261772 0.00409258 0.08884033 0.09747636 0.00864238]
[0.1260211  0.222664   0.0310557  0.26776904 0.3142726  0.03821724],[0.06073324 0.11012119 0.00562017 0.08643704 0.09416802 0.0065596 ]
[0.13945532 0.22623423 0.02888536 0.25786057 0.3124958  0.03506891],[0.06975398 0.11063384 0.00472984 0.08277646 0.09779304 0.00656762]
[0.12892066 0.22852233 0.02940201 0.2493526  0.3279862  0.03581625],[0.05781818 0.11158825 0.00512967 0.07846496 0.10113673 0.00816922]
